,Date,Symbol,Expiry,Option Type,Strike Price,Open_x,High_x,Low_x,Close_x,Last,Settle Price,Number of Contracts,Turnover_x,Premium Turnover,Open Interest,Change in OI,Underlying,Open_y,High_y,Low_y,Close_y,Volume,Turnover_y,AnnualVolatility365,AnnualVolatility254,logreturns,Days_to_Expiry,Range,UpperRange,LowerRange
16,2017-08-23,BANKNIFTY,2017-09-07,CE,24300.0,0.0,0.0,0.0,241.35,0.0,341.45,0.0,0.0,0.0,0.0,0.0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000.0,15.3465952252,12.8021368284,0.0141787895501,15,756.515200519,25073.3152005,23560.2847995
17,2017-08-23,BANKNIFTY,2017-09-07,PE,24300.0,0.0,0.0,0.0,802.35,0.0,262.35,0.0,0.0,0.0,0.0,0.0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000.0,15.3465952252,12.8021368284,0.0141787895501,15,756.515200519,25073.3152005,23560.2847995
18,2017-08-23,BANKNIFTY,2017-09-07,CE,24400.0,0.0,0.0,0.0,212.3,0.0,290.6,0.0,0.0,0.0,0.0,0.0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000.0,15.3465952252,12.8021368284,0.0141787895501,15,756.515200519,25073.3152005,23560.2847995
19,2017-08-23,BANKNIFTY,2017-09-07,PE,24400.0,0.0,0.0,0.0,872.2,0.0,311.2,0.0,0.0,0.0,0.0,0.0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000.0,15.3465952252,12.8021368284,0.0141787895501,15,756.515200519,25073.3152005,23560.2847995
20,2017-08-23,BANKNIFTY,2017-09-07,CE,24500.0,146.0,210.0,144.0,188.75,180.0,188.75,75.0,73975000.0,475000.0,1680.0,960.0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000.0,15.3465952252,12.8021368284,0.0141787895501,15,756.515200519,25073.3152005,23560.2847995
21,2017-08-23,BANKNIFTY,2017-09-07,PE,24500.0,0.0,0.0,0.0,250.0,250.0,365.4,0.0,0.0,0.0,40.0,0.0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000.0,15.3465952252,12.8021368284,0.0141787895501,15,756.515200519,25073.3152005,23560.2847995
22,2017-08-23,BANKNIFTY,2017-09-07,CE,24600.0,0.0,0.0,0.0,162.55,0.0,204.65,0.0,0.0,0.0,0.0,0.0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000.0,15.3465952252,12.8021368284,0.0141787895501,15,756.515200519,25073.3152005,23560.2847995
23,2017-08-23,BANKNIFTY,2017-09-07,PE,24600.0,0.0,0.0,0.0,1020.2,0.0,424.7,0.0,0.0,0.0,0.0,0.0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000.0,15.3465952252,12.8021368284,0.0141787895501,15,756.515200519,25073.3152005,23560.2847995
24,2017-08-23,BANKNIFTY,2017-09-07,CE,24700.0,0.0,0.0,0.0,141.35,0.0,169.2,0.0,0.0,0.0,0.0,0.0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000.0,15.3465952252,12.8021368284,0.0141787895501,15,756.515200519,25073.3152005,23560.2847995
25,2017-08-23,BANKNIFTY,2017-09-07,PE,24700.0,0.0,0.0,0.0,1097.85,0.0,489.05,0.0,0.0,0.0,0.0,0.0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000.0,15.3465952252,12.8021368284,0.0141787895501,15,756.515200519,25073.3152005,23560.2847995
26,2017-08-24,BANKNIFTY,2017-09-07,CE,23500.0,0.0,0.0,0.0,585.85,0.0,869.65,0.0,0.0,0.0,0.0,0.0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000.0,17.5579986718,14.6468906055,-0.00175341157475,14,834.713664928,25108.9136649,23439.4863351
27,2017-08-24,BANKNIFTY,2017-09-07,PE,23500.0,55.0,56.0,41.05,43.2,43.0,43.2,330.0,310850000.0,650000.0,10880.0,10840.0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000.0,17.5579986718,14.6468906055,-0.00175341157475,14,834.713664928,25108.9136649,23439.4863351
28,2017-08-24,BANKNIFTY,2017-09-07,CE,23600.0,0.0,0.0,0.0,531.25,0.0,783.3,0.0,0.0,0.0,0.0,0.0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000.0,17.5579986718,14.6468906055,-0.00175341157475,14,834.713664928,25108.9136649,23439.4863351
29,2017-08-24,BANKNIFTY,2017-09-07,PE,23600.0,0.0,0.0,0.0,400.1,0.0,52.75,0.0,0.0,0.0,0.0,0.0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000.0,17.5579986718,14.6468906055,-0.00175341157475,14,834.713664928,25108.9136649,23439.4863351
30,2017-08-24,BANKNIFTY,2017-09-07,CE,23700.0,0.0,0.0,0.0,480.05,0.0,700.25,0.0,0.0,0.0,0.0,0.0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000.0,17.5579986718,14.6468906055,-0.00175341157475,14,834.713664928,25108.9136649,23439.4863351
31,2017-08-24,BANKNIFTY,2017-09-07,PE,23700.0,0.0,0.0,0.0,447.75,0.0,69.5,0.0,0.0,0.0,0.0,0.0,24274.2,24374.75,24411.05,24224.85,24274.2,72359374,26081900000.0,17.5579986718,14.6468906055,-0.00175341157475,14,834.713664928,25108.9136649,23439.4863351
